"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","令和元年(2019)","経度","緯度","分類"
"146","302074","【旧】新宮(県)7-1(平成25年廃止)","地価調査(廃止地点)","準工","新宮市","新宮字鴻田３５６０番１０外","","135.988554","33.710498","0","98000","98000","98000","98000","97000","96300","86000","82000","80500","78500","76500","75000","72300","70000","68000","64000","61500","57800","54000","","","","","","","","135.988554300004","33.7104982100019","地価調査基準地(廃止地点)"
"165","302082","【旧】紀の川(県)5-3(平成24年廃止)","地価調査(廃止地点)","商業","紀の川市","名手市場字風呂ノ谷６７７番１","","135.433906","34.275174","96000","96000","94000","92000","90200","87500","80000","75000","70500","65000","58500","52700","47500","44000","41300","39500","37000","34200","31500","0","","","","","","","","135.433905700005","34.2751735499979","地価調査基準地(廃止地点)"
"177","303046","【旧】紀美野(県)-1(平成22年廃止)","地価調査(廃止地点)","住宅","紀美野町","動木字下墓尾１１３番１０","","135.306240","34.165864","66600","66600","66600","66600","66600","65900","65500","64800","64100","63100","62100","59500","58500","56300","54000","51500","47800","0","0","0","","","","","","","","135.306240100007","34.1658635899968","地価調査基準地(廃止地点)"
"188","303411","【旧】かつらぎ(県)-5(平成22年廃止)","地価調査(廃止地点)","住宅","かつらぎ町","大字花園新子字上垣内７４番","","135.549506","34.132501","4000","4000","4000","4000","4000","4000","4000","4000","3900","3800","3750","3700","3650","3600","3560","3520","3400","0","0","0","","","","","","","","135.549506300004","34.1325013999994","地価調査基準地(廃止地点)"
"190","303437","【旧】九度山(県)-1(平成22年廃止)","地価調査(廃止地点)","住宅","九度山町","大字九度山字上古曽部１２２２番５","","135.559198","34.286951","63000","63000","63000","63000","62000","61000","59000","57500","56400","53000","49000","46000","42400","40000","38800","37800","36500","0","0","0","","","","","","","","135.559197500003","34.2869512899987","地価調査基準地(廃止地点)"
"193","303437","【旧】九度山(県)5-1(平成22年廃止)","地価調査(廃止地点)","商業","九度山町","大字九度山字稲垣１４７１番２","","135.559067","34.290596","95500","95500","93500","93500","93000","92000","88000","84000","80000","75200","68500","63000","57400","52800","49600","47400","45500","0","0","0","","","","","","","","135.559066500003","34.2905959199985","地価調査基準地(廃止地点)"
"206","303623","【旧】広川(県)5-1(平成25年廃止)","地価調査(廃止地点)","商業","広川町","大字広字濱添３１８番１１外","","135.175692","34.028717","0","0","0","0","0","0","0","0","0","0","0","62400","58700","55200","53000","51000","48500","45500","42300","39700","","","","","","","","135.175691700008","34.0287174099936","地価調査基準地(廃止地点)"
"209","303666","【旧】有田川(県)-3(平成22年廃止)","地価調査(廃止地点)","住宅","有田川町","大字下津野字中吉１７２０番２","","135.219200","34.060925","51000","51000","51000","51000","51000","50500","49500","48800","48300","48100","47800","47700","47200","46900","46900","46900","45900","0","0","0","","","","","","","","135.219199900003","34.0609245499933","地価調査基準地(廃止地点)"
"220","303810","【旧】美浜(県)5-1(平成22年廃止)","地価調査(廃止地点)","商業","美浜町","大字和田字松原１１３８番１２４","","135.135495","33.893861","96000","96000","94000","93000","92500","92000","91300","91000","90800","89000","85400","81100","76500","72000","67000","62000","57100","0","0","0","","","","","","","","135.135494900004","33.8938612099992","地価調査基準地(廃止地点)"
"237","303917","【旧】みなべ(県)-5(平成22年廃止)","地価調査(廃止地点)","住宅","みなべ町","島之瀬字上勘解由寺２６３番１","","135.362427","33.841832","10000","10000","10000","10000","10000","10000","10000","10000","10000","9800","9600","9400","9200","9000","8900","8630","8370","0","0","0","","","","","","","","135.362426800006","33.8418319199998","地価調査基準地(廃止地点)"
"238","303917","【旧】みなべ(県)5-1(平成22年廃止)","地価調査(廃止地点)","商業","みなべ町","南道字通町５３番","","135.319382","33.768555","90000","89000","89000","88000","87500","85800","84800","84000","82700","80200","77000","74000","71000","68000","65600","61700","58000","0","0","0","","","","","","","","135.319382200004","33.7685548699995","地価調査基準地(廃止地点)"
"246","303925","【旧】日高川(県)5-1(平成24年廃止)","地価調査(廃止地点)","商業","日高川町","大字土生字鳥居之前１４２番１内","","135.184423","33.911839","0","0","0","0","0","0","0","0","0","54600","54000","53000","51500","49400","47400","45500","43600","41400","39200","0","","","","","","","","135.184422500004","33.9118393899967","地価調査基準地(廃止地点)"
"251","304018","【旧】白浜(県)-5(平成22年廃止)","地価調査(廃止地点)","住宅","白浜町","市鹿野字水引９７３番１外","","135.535094","33.656357","9600","9500","9300","9300","9300","9200","9200","9200","9100","9000","8900","8700","8500","8400","8100","7900","7700","0","0","0","","","","","","","","135.535094000003","33.6563569100018","地価調査基準地(廃止地点)"
"263","304069","【旧】すさみ(県)5-1(平成22年廃止)","地価調査(廃止地点)","商業","すさみ町","周参見字堀地４０３７番１","","135.497022","33.550144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43200","42000","40500","0","0","0","","","","","","","","135.497022100008","33.5501440999981","地価調査基準地(廃止地点)"
"272","304221","【旧】太地(県)5-1(平成22年廃止)","地価調査(廃止地点)","商業","太地町","大字太地字新屋敷３３７６番","","135.944819","33.590279","0","0","0","0","0","54000","52400","51000","49500","47000","45000","42500","40300","38700","36800","35000","33100","0","0","0","","","","","","","","135.944818900004","33.5902789399997","地価調査基準地(廃止地点)"
"283","304280","【旧】串本(県)-4(平成25年廃止)","地価調査(廃止地点)","住宅","串本町","古座字狼煙山５１５番３","","135.830380","33.514476","54500","54500","54500","54500","54500","54000","53400","52500","51400","49200","47000","44500","42100","40100","38000","36000","34000","31800","29000","26100","","","","","","","","135.830379700002","33.5144764299999","地価調査基準地(廃止地点)"
"13","302015","【旧】和歌山(県)-13(平成26年廃止)","地価調査(廃止地点)","住宅","和歌山市","大谷字東谷８０６番６０","","135.177884","34.262887","120000","120000","118000","117000","115000","109000","99000","90000","82600","75000","69400","64800","60700","57000","55800","55800","55200","53500","51100","49600","48500","","","","","","","135.177883900002","34.2628867599973","地価調査基準地(廃止地点)"
"186","303411","【旧】かつらぎ(県)-3(平成26年廃止)","地価調査(廃止地点)","住宅","かつらぎ町","大字笠田中字稲子１３９番１","","135.473638","34.288129","0","0","0","0","0","0","64000","62500","57500","52000","49000","45000","41400","38600","36000","35200","34100","32800","31400","30300","29100","","","","","","","135.473638300005","34.2881287799972","地価調査基準地(廃止地点)"
"203","303623","【旧】広川(県)-1(平成26年廃止)","地価調査(廃止地点)","住宅","広川町","大字広字南ノ町１１４１番","","135.170746","34.024283","59900","59700","59500","59400","59400","59200","58700","58200","57800","57300","56700","56000","53700","49800","46300","44000","39800","37400","34800","33000","29800","","","","","","","135.170746400009","34.0242828199939","地価調査基準地(廃止地点)"
"247","304018","【旧】白浜(県)-1(平成26年廃止)","地価調査(廃止地点)","住宅","白浜町","中字中村１４０番","","135.389473","33.646603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26000","25500","25000","24500","21800","19700","17800","","","","","","","135.389472800003","33.6466030399969","地価調査基準地(廃止地点)"
"62","302015","【旧】和歌山(県)9-2(平成27年廃止)","地価調査(廃止地点)","工業","和歌山市","小雑賀字堂東２７８番１４外","","135.183055","34.208121","245000","210000","148000","146000","145000","135000","126000","118000","110000","97000","86000","75000","68000","63500","61500","59700","56500","53700","51600","49800","48300","45900","","","","","","135.183054500003","34.2081214299984","地価調査基準地(廃止地点)"
"93","302031","【旧】橋本(県)-9(平成27年廃止)","地価調査(廃止地点)","住宅","橋本市","恋野字中切２３０７番２","","135.660511","34.322357","26000","26000","26000","26000","26000","26000","25700","25400","25000","24700","23800","23200","21300","20500","20200","20000","19400","18500","17900","17300","16700","16200","","","","","","135.660510600005","34.3223564999982","地価調査基準地(廃止地点)"
"168","302091","【旧】岩出(県)-1(平成27年廃止)","地価調査(廃止地点)","住宅","岩出市","山崎字東口５２番６４","","135.320963","34.245618","74500","74500","73000","69400","68500","66600","61000","56800","53300","49500","46000","42200","37500","34900","33500","32300","30500","29700","29000","28400","28200","27500","","","","","","135.320963000008","34.2456178499982","地価調査基準地(廃止地点)"
"183","303046","【旧】紀美野(県)5-1(平成27年廃止)","地価調査(廃止地点)","商業","紀美野町","小畑字庄田坪２７８番１","","135.299506","34.165416","72800","72800","72800","72800","72800","72800","71900","71000","70000","68000","66800","64000","60700","57300","55000","52500","48800","44900","41000","38500","37000","35000","","","","","","135.299505800007","34.1654155199968","地価調査基準地(廃止地点)"
"11","302015","【旧】和歌山(県)-11(平成28年廃止)","地価調査(廃止地点)","住宅","和歌山市","関戸１丁目８３番５","関戸１－３－５","135.168460","34.199960","260000","255000","245000","234000","218000","204000","185000","172000","162000","152000","144000","136000","130000","127000","126000","126000","122000","117000","115000","114000","112000","111000","111000","","","","","135.168460000004","34.1999599999975","地価調査基準地(廃止地点)"
"40","302015","【旧】和歌山(県)3-1(平成28年廃止)","地価調査(廃止地点)","宅見","和歌山市","楠見中字本傳木２６３番１","","135.179000","34.256790","67000","67000","65000","63500","62700","55000","50000","45500","41000","36500","31500","26500","23800","21500","20000","18800","18000","17100","16200","15600","15000","14600","14300","","","","","135.179000000002","34.2567899999975","地価調査基準地(廃止地点)"
"299","302074","【旧】新宮(県)5-3(平成28年廃止)","地価調査(廃止地点)","商業","新宮市","熊野川町能城山本字畑谷１１１番１","","135.878200","33.797990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13000","12000","11300","10600","","","","","135.878200000002","33.7979899999987","地価調査基準地(廃止地点)"
"200","303615","【旧】湯浅(県)-3(平成28年廃止)","地価調査(廃止地点)","住宅","湯浅町","大字湯浅字新屋敷２８８２番","","135.171300","34.035590","99500","99500","99500","99500","99500","98300","95200","92200","88000","83800","79600","75000","71000","67000","65600","62300","58600","54800","51200","45500","41000","37600","34500","","","","","135.171300000009","34.0355899999937","地価調査基準地(廃止地点)"
"214","303666","【旧】有田川(県)-8(平成28年廃止)","地価調査(廃止地点)","住宅","有田川町","大字二川字東前３７３番３","","135.357950","34.069620","31000","31000","31000","31000","31000","30800","30600","30400","30200","30000","29700","29400","29000","28100","27200","25900","24000","22800","21500","20100","19000","17900","16700","","","","","135.357950000003","34.0696199999995","地価調査基準地(廃止地点)"
"24","302015","【旧】和歌山(県)-24(平成29年廃止)","地価調査(廃止地点)","住宅","和歌山市","内原字番田１２３８番３外","","135.195550","34.174680","85000","85000","85000","85000","84500","83000","81300","80000","79000","72000","65000","61000","56800","53000","49500","47000","43500","40500","37300","35000","32600","30400","28400","27000","","","","135.195550000004","34.1746799999964","地価調査基準地(廃止地点)"
"291","302015","【旧】和歌山(県)-32(平成29年廃止)","地価調査(廃止地点)","住宅","和歌山市","有本字焼野５７７番１１","","135.192780","34.249910","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67500","60500","56000","51500","48500","45700","43100","","","","135.192780000002","34.2499099999972","地価調査基準地(廃止地点)"
"44","302015","【旧】和歌山(県)5-3(平成29年廃止)","地価調査(廃止地点)","商業","和歌山市","本町１丁目３３番","","135.174750","34.233770","0","0","0","0","0","0","0","604000","465000","408000","327000","257000","200000","181000","173000","169000","158000","147000","135000","126000","118000","114000","111000","109000","","","","135.174750000004","34.2337699999971","地価調査基準地(廃止地点)"
"48","302015","【旧】和歌山(県)5-7(平成29年廃止)","地価調査(廃止地点)","商業","和歌山市","吉田字秡戸７２３番","","135.186900","34.233920","565000","453000","376000","315000","267000","224000","200000","183000","172000","161000","144000","134000","125000","122000","122000","122000","121000","117000","113000","111000","109000","108000","108000","108000","","","","135.186900000002","34.2339199999969","地価調査基準地(廃止地点)"
"108","302058","【旧】御坊(県)-2(平成29年廃止)","地価調査(廃止地点)","住宅","御坊市","湯川町財部字下河原８８１番１４","","135.160980","33.899260","75500","75500","75500","74600","74400","74000","72100","70500","69100","67500","65800","64200","62000","59500","56800","54700","51500","48400","45300","42500","40400","38900","37700","36600","","","","135.160980000004","33.8992599999969","地価調査基準地(廃止地点)"
"119","302066","【旧】田辺(県)-6(平成29年廃止)","地価調査(廃止地点)","住宅","田辺市","目良２４４２番８","目良３８－２８","135.355850","33.735890","73000","73000","72500","72500","72000","71000","68000","64000","61500","59000","56500","54200","48900","45500","39000","36300","34500","33000","31000","28000","26600","24200","22200","21000","","","","135.355850000005","33.7358899999995","地価調査基準地(廃止地点)"
"121","302066","【旧】田辺(県)-8(平成29年廃止)","地価調査(廃止地点)","住宅","田辺市","本宮町静川字平６４１番２外","","135.743700","33.790880","5000","5000","5000","5000","5000","5000","4900","4900","4800","4800","4700","4600","4540","4500","4400","4300","4290","4200","4100","4000","3900","3850","3840","3830","","","","135.743700000008","33.7908799999986","地価調査基準地(廃止地点)"
"131","302066","【旧】田辺(県)-11(平成29年廃止)","地価調査(廃止地点)","住宅","田辺市","合川字地下背戸６８０番１７","","135.569450","33.687700","7000","7000","7000","7000","7000","6900","6850","6850","6800","6670","6530","6350","6150","5970","5750","5530","5520","5420","5300","5170","5050","5010","5000","4990","","","","135.569450000005","33.6876999999992","地価調査基準地(廃止地点)"
"151","302082","【旧】紀の川(県)-5(平成29年廃止)","地価調査(廃止地点)","住宅","紀の川市","貴志川町長山字里ノ内５７３番１","","135.293280","34.209740","66000","66000","65500","64000","62800","61500","56500","53000","50200","47000","43600","40500","37600","35500","34000","32300","30600","28000","26500","24900","23400","22200","21200","20300","","","","135.293280000005","34.2097399999964","地価調査基準地(廃止地点)"
"178","303046","【旧】紀美野(県)-2(平成29年廃止)","地価調査(廃止地点)","住宅","紀美野町","長谷字縄手１６番５","","135.317370","34.182480","15500","15500","15500","15500","15500","15500","15500","15500","15500","15500","15500","15300","15200","15100","15000","14900","14800","14700","14500","14000","13600","13200","13000","12800","","","","135.317370000006","34.1824799999964","地価調査基準地(廃止地点)"
"181","303046","【旧】紀美野(県)-5(平成29年廃止)","地価調査(廃止地点)","住宅","紀美野町","井堰字中や垣内５４７番１","","135.368240","34.171930","11300","11300","11300","11300","11300","11300","11300","11300","11300","11200","11100","10900","10800","10700","10600","10500","10400","9880","9250","8770","8350","8000","7920","7880","","","","135.368240000005","34.1719299999965","地価調査基準地(廃止地点)"
"198","303615","【旧】湯浅(県)-1(平成29年廃止)","地価調査(廃止地点)","住宅","湯浅町","大字栖原字宮池尻９９６番","","135.166480","34.043710","42300","42300","42300","42300","42300","42300","41800","41000","40300","39500","38700","37600","36200","35200","34800","34000","33000","31800","30500","29100","27900","26400","25300","24500","","","","135.166480000008","34.0437099999946","地価調査基準地(廃止地点)"
"207","303666","【旧】有田川(県)-1(平成29年廃止)","地価調査(廃止地点)","住宅","有田川町","大字天満字窪田町８８番２外","","135.202270","34.061200","72000","72000","72000","72000","72000","71500","69800","68000","66000","64500","62800","62700","61900","61300","61300","61300","60000","58000","56000","54000","52700","51900","51900","51900","","","","135.202270000005","34.0611999999937","地価調査基準地(廃止地点)"
"241","303925","【旧】日高川(県)-3(平成29年廃止)","地価調査(廃止地点)","住宅","日高川町","大字松瀬字柿木４８４番１","","135.215760","33.922090","11200","11200","11200","11200","11200","11200","11200","11200","11200","11200","11100","11000","10800","10600","10400","10000","9700","9250","8900","8600","8200","8000","7850","7730","","","","135.215760000005","33.9220899999984","地価調査基準地(廃止地点)"
"244","303925","【旧】日高川(県)-6(平成29年廃止)","地価調査(廃止地点)","住宅","日高川町","大字船津字田中３２９番２","","135.274260","33.958290","17500","17500","17500","17500","17500","17500","17500","17500","17500","17500","17300","17100","16800","16500","16000","15500","15000","14200","13400","12800","12100","11600","11200","10900","","","","135.274260000003","33.9582899999987","地価調査基準地(廃止地点)"
"245","303925","【旧】日高川(県)-7(平成29年廃止)","地価調査(廃止地点)","住宅","日高川町","大字初湯川字平２１３番９０","","135.385520","33.959880","7880","7880","7880","7880","7880","7880","7880","7880","7880","7880","7840","7800","7670","7550","7430","7200","6950","6550","6200","6000","5850","5740","5650","5560","","","","135.385520000003","33.9598799999978","地価調査基準地(廃止地点)"
"249","304018","【旧】白浜(県)-3(平成29年廃止)","地価調査(廃止地点)","住宅","白浜町","字瓜切２９２７番５８７外","","135.333910","33.667960","91000","90000","87000","84000","81700","80000","75000","69000","63400","57300","51600","46300","39000","35800","33000","31000","29000","27000","25300","23500","22000","21000","20400","19900","","","","135.333910000006","33.6679599999992","地価調査基準地(廃止地点)"
"265","304212","【旧】那智勝浦(県)-2(平成29年廃止)","地価調査(廃止地点)","住宅","那智勝浦町","大字川関字在ノ内３８６番","","135.927910","33.648240","0","0","0","0","0","0","0","0","36500","35400","34200","32800","31800","30800","30000","29300","28200","26500","25200","22000","19700","18700","17900","17100","","","","135.927910000005","33.6482399999984","地価調査基準地(廃止地点)"
"277","304271","【旧】北山(県)-1(平成29年廃止)","地価調査(廃止地点)","住宅","北山村","大字七色字瀬ノ上ヱ９７番","","135.989050","33.968640","7250","7250","7250","7250","7250","7200","7100","7100","6900","6800","6700","6600","6450","6320","6100","6000","5900","5700","5400","5200","5000","4900","4800","4750","","","","135.989050000002","33.968639999998","地価調査基準地(廃止地点)"
"135","302066","【旧】田辺(県)5-4(平成29年廃止)","地価調査(廃止地点)","商業","田辺市","本宮町本宮字坂町１５７１番１３","","135.771570","33.833420","0","0","0","0","0","0","0","0","0","30800","29800","28800","27900","27300","26500","25700","24800","23900","22700","21000","19500","18400","18000","17600","","","","135.771570000006","33.8334200000004","地価調査基準地(廃止地点)"
"142","302074","【旧】新宮(県)-6(平成29年廃止)","地価調査(廃止地点)","住宅","新宮市","熊野川町九重字浦地４４９番","","135.854820","33.865680","12900","12900","12900","12900","12900","12700","12600","12600","12300","11900","11500","11100","10700","10400","10000","9600","9300","8900","8400","7600","7000","6650","6350","6080","","","","135.854820000004","33.865679999999","地価調査基準地(廃止地点)"
"212","303666","【旧】有田川(県)-6(平成29年廃止)","地価調査(廃止地点)","住宅","有田川町","大字小川字吉田１７７９番外","","135.276480","34.077470","47000","47000","47000","47000","47000","47000","46800","46600","45200","45000","44700","44400","43600","42300","41500","40600","38600","36300","33800","31400","29200","27000","25500","24500","","","","135.276480000007","34.077469999998","地価調査基準地(廃止地点)"
"213","303666","【旧】有田川(県)-7(平成29年廃止)","地価調査(廃止地点)","住宅","有田川町","大字久野原字西番１１０９番２","","135.450140","34.096540","10000","10000","10000","10000","10000","10000","10000","10000","9980","9950","9900","9850","9750","9550","9350","9250","8900","8630","8440","8320","8320","8200","8100","8000","","","","135.450140000005","34.0965399999992","地価調査基準地(廃止地点)"
"228","303836","【旧】由良(県)5-1(平成29年廃止)","地価調査(廃止地点)","商業","由良町","大字里字宮ノ前２７６番１","","135.121770","33.960420","0","0","0","0","0","0","74400","73800","73400","72300","70800","68600","66000","63000","60000","57100","53700","49900","45900","42100","39500","37400","36200","35300","","","","135.121770000003","33.9604199999995","地価調査基準地(廃止地点)"
"253","304018","【旧】白浜(県)-5(平成29年廃止)","地価調査(廃止地点)","住宅","白浜町","安宅字城ノ内１１１番２内","","135.465280","33.578880","15300","15300","15300","15300","15300","15100","15100","15100","14900","14600","14300","13900","13600","13300","13000","12700","12400","12000","11500","11300","11000","10800","10600","10400","","","","135.465280000005","33.5788799999989","地価調査基準地(廃止地点)"
